,Ticker,Tweets,Time
0,AAPL,"This #EarthDay, chill out with the calming sounds of rainfall. 🌧

Listen to the #RainSounds playlist now: https://t.co/jUhRHzz1wy https://t.co/bJBINblSjL",2021-04-23 01:04:43
1,AAPL,".@AndraDayMusic joins @ciara on #LevelUpRadio to talk 'The U.S. vs. Billie Holiday' and her new song #PhoneDies.

Listen: https://t.co/13oOY6uSVP https://t.co/BIKz1812cu",2021-04-22 23:02:25
2,AAPL,Keep listening to #MONTERO (Call Me By Your Name) from @lilnasx on #TodaysHits: https://t.co/GbjeOeSlTq https://t.co/Z9RP3yXyAt,2021-04-22 22:02:32
3,AAPL,"There’s no rhythm more essential, no music more relaxing, than the rolling of ocean waves. 🌊

Celebrate #EarthDay with the #OceanSounds playlist: https://t.co/Fo1EhOAaCJ https://t.co/gO1JymODW9",2021-04-22 19:59:49
4,AAPL,"#TheAgenda playlist brings you songs making waves in the UK.

Go deeper into the stories of Black British music’s most prodigious talents on The Agenda Live.

In this installment, London’s @Central_Cee shares an exclusive performance of “Ruby.”

Watch: https://t.co/LfBNHa30hN https://t.co/JcMK5ryJPw",2021-04-22 18:08:46
5,AAPL,"Fresh off of #FearlessTaylorsVersion, @taylorswift13 shares the story behind her #FromTheVault track, #ThatsWhen featuring @KeithUrban.

Watch now: https://t.co/DFW4eXdcI8 https://t.co/sQNLDpqOGB",2021-04-22 16:05:59
6,AAPL,‘Antarctica: Earth Sounds’ combines the natural music of the Earth and local fauna with orchestral elements that capture the continent: https://t.co/U2NAxs86gf https://t.co/RZRiks9RUG,2021-04-22 15:37:52
7,AAPL,"Enjoy ‘Australia &amp; Oceania: Earth Sounds,’ with soundscapes from the Land Down Under: https://t.co/U2NAxs86gf https://t.co/emzinfOcIB",2021-04-22 15:36:51
8,AAPL,"‘South America: Earth Sounds’ highlights the sonic beauty of Brazil, Peru, Colombia, Ecuador, and Uruguay: https://t.co/U2NAxs86gf https://t.co/Wg4GG02Czk",2021-04-22 15:34:03
9,AAPL,"With sounds of animals in the forest, rivers flowing, ocean waves crashing and more, this is ‘North America: Earth Sounds’: https://t.co/U2NAxs86gf https://t.co/ydyymaCCFo",2021-04-22 15:32:42
10,AAPL,"Listen to the planet’s music and the animals, landscapes, and terrain worth preserving on ‘Africa: Earth Sounds’: https://t.co/U2NAxs86gf https://t.co/bBVtQPnnhN",2021-04-22 15:31:08
11,AAPL,"On ‘Europe: Earth Sounds,’ hear natural music combined with regional instruments from the United Kingdom, Norway, Germany, and Italy: https://t.co/U2NAxs86gf https://t.co/wL8mzJCEqu",2021-04-22 15:29:24
12,AAPL,"Immerse yourself into ‘Asia: Earth Sounds’ with soundscapes from India, China, Sri Lanka, the Maldives, and Vietnam: https://t.co/U2NAxs86gf https://t.co/X0VqngkrDC",2021-04-22 15:27:59
13,AAPL,"In honor of #EarthDay, listen to a special collection of albums exploring the sounds of nature and music from all seven continents.",2021-04-22 15:26:40
14,AAPL,Listen to #Fiel from #LosLegendarios x @wisin x @jhaycortez on #DalePlay: https://t.co/Cpinwzt2LM https://t.co/JcXYtWMtUt,2021-04-22 03:05:58
15,AAPL,"“I grew up listening to country music. That was the music that I really first gravitated toward.”

@Olivia_Rodrigo curates a playlist for the moment on @zanelowe's show. #AtHomeWithAppleMusic

Listen: https://t.co/xSn2pvpqai https://t.co/27rfYwW9Wh",2021-04-22 01:08:04
