,Ticker,Tweets,Time
0,AMZN,"@mindovermadi Why did the girl throw the butter out of the window? 😀 To see a BUTTER FLY! 🦋 😆 Haha, that wasn't our strongest joke. But for real, these sunnies are adorbs! You'll definitely look FLY wearing them. That was the last joke, we swear. 😎 😜",2021-04-22 23:03:01
1,AMZN,@Kylieraewriter Haha! The driver was probably like 👁️ 👄 👁️ . We love it! Thanks for sharing the giggles with us today! 😆,2021-04-22 19:49:50
2,AMZN,"@simonhua We're drooling! 🤤 That sounds amazing! We'd love to send you a few things to help your future cooking adventures! If you're interested, please provide us your details here: https://t.co/UxOTtc4EhT. 🎁",2021-04-22 18:08:47
3,AMZN,These are just a few of the ways we’re helping. Learn more 💚👇 https://t.co/h6GxE0pV4d,2021-04-22 15:00:01
4,AMZN,We’re making smarter 🧠 packaging choices with smaller and lighter packages 📦 so we can pack more orders into every delivery and make fewer trips (and burn less fuel!). ⬇,2021-04-22 15:00:01
5,AMZN,"We’re working to power our operations with 100% renewable energy 💡by 2025 (5 years ahead of schedule) and roll out 100,000 electric delivery vehicles 🚙 by 2030 to help reduce carbon emissions. ⬇",2021-04-22 15:00:00
6,AMZN,"Look for the ‘Climate Pledge Friendly’ 🌱 badge when shopping 🛒 to find products that meet sustainability standards, according to trusted certifiers. ⬇",2021-04-22 15:00:00
7,AMZN,"Climate change 🌍 is an urgent issue, and we're using our size and scale to help protect our environment and communities. 

Here’s what we're doing to reach net-zero carbon by 2040 and help you shop more sustainably. ⬇ #EarthDay",2021-04-22 15:00:00
8,AMZN,@MyCatHarey Just look at that sweet face! ❤️ 😍 ❤️ Did Henny receive any treats in the package? 🦴 This pup's paw-recious smile leads us to believe that they did! 🥰,2021-04-22 14:32:18
9,AMZN,"@ImBharatKothari In response to the details shared, you should've received a correspondence from our team. Kindly check and reply to it for further assistance. Please don't provide your details, we consider it personal information. Our page is visible to public.

-Dheeraj",2021-04-22 03:24:56
10,AMZN,"@dannniiiaaa Yes! Love it!! 😍 Fashion is definitely timeless! 👗 We'd love to send you a little something to help take you back in time! If you're interested, please provide us your details here: https://t.co/MVxbM2EFbn. 🎁",2021-04-22 00:14:17
11,AMZN,@_GabriellaDB WE FEEL THE NEED...THE NEED FOR SPEED! 🛫 😜,2021-04-22 00:05:19
12,AMZN,"@dannniiiaaa OOOOOO. 👀 We LOVE vintage. Are we talking Victorian era vintage? 🎩 Or 70's vintage? ☮️ Or *shudder* 90's vintage? 💿 HOW SCARY IS IT THAT THE 90S CAN BE CONSIDERED VINTAGE?! 😭 We feel old now. But! Tell us, how vintage are we talking?! 👀 👀",2021-04-21 23:45:43
13,AMZN,@MochaSprinkle You're meow-st welcome! 😊 Can you tell us the name of this purr-ecious kitty? 😻,2021-04-21 20:48:30
14,AMZN,"@EAtzeff What do you call a shoe made from a banana? 🍌 A SLIPPER! 😂 All jokes aside, these are super cute, and we're glad your feet are cozy &amp; fashionable! 👣",2021-04-21 20:48:30
15,AMZN,@JonathanandBall Your 🐕 + 🧦 + 📦 = being socked with surprise! 😄 Can you tell us your pup's name?,2021-04-21 20:48:30
16,AMZN,"@quiggleness *chef's kiss* The outfit you put together is giving us all the #brunch vibes! 🥞 🍓 🤳 We're not saying it's a fashion competition, but if it were--you'd definitely take top prize! 😜",2021-04-21 18:48:15
17,AMZN,@HuggableHipster We're so glad everything arrived safely!! 😀 Anxiously waiting the unboxing on the 24th! 😬 😀 👌 🤳 🍵,2021-04-21 17:48:00
18,AMZN,@simonhua So much to unpack here! 😂 1. THIS MEAL SOUNDS DELICIOUS. OMG. 🤤 2. Having your dad be a professional chef was probably awesome! 👨‍🍳 I bet dinner at your house was on point! 👏 🌮 🥞 🥙 🍔 🍜 And 3. What is your favorite thing to cook as of now? 😀,2021-04-21 17:42:21
19,AMZN,@ShutUp_Cooper We think this is an OVERALL great decision. 😜 We bet you'll rock them!! 🤟 👖,2021-04-21 16:54:00
20,AMZN,".@Alexa99, where can I get a COVID-19 vaccine? 🤔 

Alexa can now help find a vaccination site near you. https://t.co/YRwDKAdhPp https://t.co/dWyWTwGEca",2021-04-21 16:29:32
21,AMZN,@_Brenna_B We're so happy we could help you look stylish while you're in #workoutmode! 💪 😎,2021-04-21 16:27:05
22,AMZN,@EmZup513 But wait! There's MORE! 😉😜 Be on the lookout for another paw-ckage arriving soon. 🎁 We can't wait to see what you and Princess Jasmine think about it! 🐶 👑 💕,2021-04-21 16:00:20
23,AMZN,"@FishKayleah Your favoriteee?! 🥰 Awh shucks, you're making us blush! 🥺 👉 👈 💕",2021-04-21 15:58:01
24,AMZN,@chabs_xo Ugh ilyyyy MORE! 😜💕💯,2021-04-21 15:57:17
25,AMZN,@chabs_xo We love that you're enjoying Amazon Fresh! 🥰 We're happy we can be here for you!,2021-04-21 14:39:17
26,AMZN,Black lives matter. https://t.co/ekA6eq9Bxp https://t.co/VeKswKdzqW,2021-04-21 03:37:01
27,AMZN,@FishKayleah 😊 ❤️ 👍,2021-04-20 20:55:31
28,AMZN,@hankd_wx We think this purchase was well plotted and mapped out! 😁 🗺️ 📍,2021-04-20 20:41:55
