,Ticker,Tweets,Time
0,DIS,RT @NatGeo: Happy Earth Day! We want to know: What place on our planet inspires you most? Show us using #ShareYourSpot! https://t.co/3RDDNA…,2021-04-22 23:53:49
1,DIS,Discover a few new deep blue secrets this #EarthDay. All episodes of #SecretsOfTheWhales from @NatGeo are now streaming on @DisneyPlus. #DisneyPlus https://t.co/zGzQcsUC2k,2021-04-22 21:00:01
2,DIS,"Talk about a team up 💪 Stream the finale of @MarvelStudios' The Falcon and The Winter Soldier tomorrow on @DisneyPlus 💥 Poster art by Bella Grace, Salvador Anguiano, and Attila Szarka #FalconAndWinterSoldier (2/2) https://t.co/NFOrFiTj7v",2021-04-22 19:00:14
3,DIS,"Talk about a team up 💪 Stream the finale of @MarvelStudios' The Falcon and The Winter Soldier tomorrow on @DisneyPlus 💥 Poster art by Luke Butland, Doaly, and Tracie Ching #FalconAndWinterSoldier (1/2) https://t.co/y4yPXXajSr",2021-04-22 19:00:07
4,DIS,RT @DisneyD23: NEW: #TheFalconAndTheWinterSoldier director Kari Skogland breaks down all the new characters and crazy twists before the fin…,2021-04-22 17:47:08
5,DIS,https://t.co/aHQWYDgTUF,2021-04-22 16:00:07
6,DIS,Happy Earth Day! 🌏 Everyone has the power to make a difference. https://t.co/7uBkmTBeei,2021-04-22 16:00:03
7,DIS,"Ever wonder what 22 was up to before Joe Gardner came along? See 22 vs. Earth, an Original Short Film streaming April 30 on @DisneyPlus 🌎 https://t.co/s78hU1GHdV",2021-04-21 18:04:43
8,DIS,"Ride like the wind, Bullseye! 🎯 https://t.co/YuNI1FgOGP",2021-04-20 18:59:44
9,DIS,https://t.co/7MaZCp43ic,2021-04-20 17:00:09
10,DIS,"Everyone can benefit from a friendly, neighborhood Spider-Man. See more in Far From Home: Spider-Man Swings Through Europe from @DisneyBooks: https://t.co/nh5m71pvaB https://t.co/eolwQ0Xmw1",2021-04-20 17:00:03
11,DIS,"RT @DisneyD23: From environmentally themed episodes of your favorite series to shorts celebrating animals across the globe, here's every wa…",2021-04-19 20:46:39
12,DIS,High tide high five! 🌊 🖐 https://t.co/wMjDwKaCzH,2021-04-19 16:59:55
13,DIS,Check out the new teaser poster for @MarvelStudios' #ShangChi and the Legend of the Ten Rings that @SimuLiu just debuted! Experience it only in theaters September 3. https://t.co/ZZNndaozd4,2021-04-19 13:32:28
14,DIS,Watch the brand-new teaser trailer for @MarvelStudios’ #ShangChi and the Legend of the Ten Rings and experience it only in theaters September 3. https://t.co/HueGfcVDGN,2021-04-19 13:30:47
15,DIS,BB-8 is always a droid worth looking for! https://t.co/lFMBesUvHu,2021-04-18 15:59:55
16,DIS,Even Ursula appreciates a good haiku. https://t.co/IgoQTA7kDP,2021-04-17 16:39:07
17,DIS,"RT @disneyplus: Get ready to play ball. 🏀

Start streaming the new Original Series, #BigShot, now on #DisneyPlus. https://t.co/G4TM7BLG9i",2021-04-16 23:05:56
18,DIS,RT @DisneyParks: We’re excited to reveal a first look at the newest @Disneyland Resort attraction poster: Snow White’s Enchanted Wish! Chec…,2021-04-16 20:13:45
19,DIS,RT @MarvelStudios: Find out what happens next. 👀 Episode five of Marvel Studios' The Falcon and The Winter Soldier is now streaming on @Dis…,2021-04-16 15:36:34
20,DIS,Welcome back the Dora Milaje in this latest featurette for @MarvelStudios' The Falcon and The Winter Soldier. Episode five streaming tomorrow on @DisneyPlus. #FalconAndWinterSoldier https://t.co/4qq731DB0C,2021-04-15 22:00:02
21,DIS,Happy 5th anniversary to this wild crew! The live action reimagining of The Jungle Book was released on this day in 2016. https://t.co/0k5OIZ8il9,2021-04-15 18:59:49
22,DIS,RT @DisneyD23: NEW: #Station19 star Jason George talks spinning off from #GreysAnatomy and surprising Disney connections: https://t.co/AdAM…,2021-04-15 16:38:42
23,DIS,He’s one lucky duck! 💰 Can you spot all the classic DuckTales characters hiding in Scrooge’s money bin? https://t.co/IfGWTrC8Yf,2021-04-15 15:59:51
24,DIS,Learn more: https://t.co/0m16yXgxti,2021-04-14 20:34:22
25,DIS,"Sit back, relax, and watch as Kelly Marie Tran, Awkwafina, and the cast of Raya and the Last Dragon make magic. #DisneyRaya is now in theaters and on #DisneyPlus with Premier Access. https://t.co/YnflWOlcrt",2021-04-14 19:00:01
26,DIS,"“Dormammu, I’ve come to bargain.” –Doctor Strange (over and over and over again) https://t.co/e7bYWKiaan",2021-04-14 17:08:30
27,DIS,Experience bold new storytelling from six new filmmakers with Disney's @LaunchpadShorts. Six Original Short Films debut May 28 on @DisneyPlus. https://t.co/nbt4IsqQFw,2021-04-14 14:09:06
28,DIS,Discover the magic that connects us. Disney's @LaunchpadShorts debuts with six Original Short Films from unique perspectives May 28 on @DisneyPlus. https://t.co/FMcB1i3R5K,2021-04-14 14:00:00
29,DIS,A friend to all. ❤️ https://t.co/xbQ369KZ9k,2021-04-13 17:00:02
30,DIS,Ramadan Mubarak from The Proud Family and their friends The Zamins! https://t.co/q2sFmRjqj2,2021-04-12 20:00:01
