,Ticker,Tweets,Time
0,FB,"@shazzer17 If you're having trouble logging in, please visit our Help Center for troubleshooting tips: https://t.co/1SITPzO0N3. -RA",2021-04-22 22:13:47
1,FB,"On #EarthDay, sharing that Facebook's operations are now 100% supported by renewable energy and we've reached net zero emissions. 
 
It’s on all of us to limit climate change and this is our latest step to reduce our footprint. https://t.co/nkJT4t2JEQ",2021-04-22 18:15:07
2,FB,"Kimeona, a native of Oahu, lives and breathes ""Aloha ʻĀina"" (love for the land) and has made ""Mālama 'Āina"" (caring for the land) his life's work. So when he learned about @808Cleanups, a nonprofit committed to restoring Hawaii’s natural beauty, he knew he'd found his calling. https://t.co/bIH1jwZa9F",2021-04-22 14:00:01
3,FB,"Visit national parks virtually, shop sustainable businesses, sign up to volunteer and so much more. Get all the details 👇https://t.co/TiJHGbsfrE",2021-04-22 13:02:33
4,FB,Raise money for environmental causes on Facebook and Instagram by starting or donating to a fundraiser. https://t.co/xPawNVhKdX,2021-04-22 13:01:39
5,FB,"Check out more ways you can take action on climate change and make a difference. 
 
Visit our Climate Science Information Center to find the latest info and resources from leading orgs – including a special event today with @EarthDay.
 
https://t.co/2wLofeecLh https://t.co/H1oUbcgUS3",2021-04-22 13:00:53
6,FB,"Celebrate #EarthDay with @BillNye, @justinbieber and more of your favorites who share how we can all help save the planet. 

Streaming now only on @FacebookWatch  https://t.co/f1IwHLpJGR",2021-04-22 13:00:16
7,FB,"@J_Reisinger Hi Justin. If you think your account was hacked or taken over by someone else, we can help you secure it. Learn more in our Help Center here: https://t.co/MLhGANiXsm. -NDN",2021-04-22 12:41:35
8,FB,"@_dankelly_ Hi Dan. As for now, you can only use the Facebook website and Messenger app in dark mode. Please share feedback about your experience with us here: https://t.co/gRpkfcrxm2. -IK",2021-04-21 17:07:02
9,FB,"@jovel_merino Hi @jovel_merino. If your account has been disabled, you can appeal our decision here: https://t.co/AvrMnu9un2. Hope this helps. -IK",2021-04-20 17:29:05
10,FB,"@poskei Hi @poskei. If you're having trouble logging in to your Facebook account, here are some things you can try: https://t.co/ZeIulKzILb. -IK",2021-04-20 17:28:26
11,FB,"@OluseyiAdenusi We appreciate your enthusiasm, @OluseyiAdenusi! -IK",2021-04-20 17:26:42
12,FB,"Wayne loves to admire the landscape around his desert community, but he grew concerned about the amount of trash he found dumped across the land. So he started the Golden Valley Cactus Cleaners Facebook Group as a way to unite his neighbors and help keep their community clean. https://t.co/qmzmvkNzQZ",2021-04-20 14:00:01
13,FB,"@September_Joy To learn more about changing your name on Facebook, please visit our Help Center: https://t.co/CcScd1x0UA. -RA",2021-04-19 22:49:31
14,FB,"@tstewarthr14 If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -RA",2021-04-19 22:48:51
15,FB,"@Puran2002 If you think your account has been disabled, please visit our Help Center for more information: https://t.co/phDMxg0uAE. -RA",2021-04-19 22:46:51
16,FB,"@SagarDh30851531 If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -RA",2021-04-19 22:45:09
17,FB,"Excited to give you more ways to express yourself and connect with people using new audio features.

Consider it like having a sound studio in your pocket by being able to create audio clips, listen to podcasts and use Live Audio Rooms.

https://t.co/cmV2Ybjgx5 https://t.co/DVwVPwmXx1",2021-04-19 18:26:28
18,FB,"@cyndierella100 Hi @cyndierella100. If the email address associated with the Facebook account has changed, your daughter can reverse it by following these steps: https://t.co/MLhGANiXsm. In case the problem persists, please let us know here: https://t.co/0JSs3GKhjW. -IK",2021-04-19 15:49:50
19,FB,"@MShuganah Hi @MShuganah. If you're having trouble logging in to your Facebook account, here are some things you can try: https://t.co/ZeIulKzILb. Hope this helps. -IK",2021-04-19 15:49:30
20,FB,"@Afrojalipro Hi Afroj. If you're experiencing this issue again, please follow the instructions in the Help Center article: https://t.co/MLhGANiXsm. -NDN",2021-04-16 22:23:27
21,FB,"@spenschwartz Hi @spenschwartz. If the email address associated with the Facebook account has been changed, it is possible to reverse it by following the steps described in the last paragraph of this Help Center article: https://t.co/MLhGANiXsm. -IK",2021-04-16 22:22:10
22,FB,"@GaryInTx Hi Gary. Thanks for reaching out. If you do not have access to the phone number or email address linked to your account, you can find out how you can reset your password by following this link to our Help Center: https://t.co/oNUCsNFlpJ. We hope this helps. -NDN",2021-04-16 22:20:31
23,FB,"@kamigarcia Hi Kami. If you think your account was hacked or taken over by someone else, we can help you secure it. Learn more in our Help Center: https://t.co/MLhGANiXsm. -NDN",2021-04-16 22:17:01
24,FB,"@XeoRepublic Hi Alexander. Thanks for reaching out. If you do not have access to the phone number or email address linked to your account, you can find out how you can reset your password by following this link to our Help Center: https://t.co/oNUCsNFlpJ. We hope this helps. -NDN",2021-04-16 22:16:05
25,FB,"@J_Reisinger Hi Justin. If you still see purchases that you don't recognize and/or believe that someone has hacked your ad account, please let us know here:https://t.co/WBF7oFqTqW. -NDN",2021-04-16 22:14:52
26,FB,"@mekozar Hi @@mekozar. Please let us know more about the issue you're experiencing by following these steps, and we'll have a look: https://t.co/rAFjFP5M8Y. -IK",2021-04-16 22:13:42
27,FB,"@DharmaR67311702 Hi Dharma. If you think your account was hacked or taken over by someone else, we can help you secure it. Learn more in our Help Center: https://t.co/MLhGANiXsm. -NDN",2021-04-16 22:13:04
