,Ticker,Tweets,Time
0,GOOG,"RT @googlefi: It's simple: Simply Unlimited is our most affordable unlimited plan.

It comes with all the essentials and starts at $30/mont…",2021-04-22 22:15:45
1,GOOG,"What does it mean to reach 24/7 carbon free energy? Unlike carbon neutral and 100% renewable, it’s achieved by sourcing clean energy for every location and every hour of operation. More about our 2030 goal → https://t.co/hH8mH0uB6c #EarthDay2021 https://t.co/lmJfyMpocw",2021-04-22 21:13:05
2,GOOG,@nigirisushki Hi there. Let's see if we can help further with this. Please follow us and let us know when you have so that we can reach out over DM.,2021-04-22 19:22:07
3,GOOG,"RT @GoogleStartups: Not all heroes wear capes. This #EarthDay 🌎, meet the 11 startups working to save the planet and protect the environmen…",2021-04-22 19:07:45
4,GOOG,@mynameishazelj Hi there. Have you tried to access the file to Google Drive using a different network? Let us know how it goes.,2021-04-22 18:19:33
5,GOOG,"Coming soon to Google Meet: a new layout that'll let you better engage with everyone on the call. Pin multiple speakers, change the sizes of the  video feeds, and hide yourself from view. Take a look at Google Meet's new updates. https://t.co/vEYilD13Bb",2021-04-22 18:17:08
6,GOOG,@Sorcha52 Hmm. Could you give us the exact wording of the error message when you try signing into your Google account? We'll see what we can do to help.,2021-04-22 17:47:35
7,GOOG,"@SOUTHERN_COM4RT Hi there, thanks for letting us know about this. Could you please tell us which podcast and episodes you're referring to? Thanks!",2021-04-22 17:45:03
8,GOOG,@reymarley56 Thanks for the info. We recommend posting this on our Google Search Help Community where a Product Expert may be able to help: https://t.co/lpmO6M4ePi. Hope this gets resolved soon.,2021-04-22 17:43:25
9,GOOG,@Ricker666 Hi Richard. This guide may help you fix the issue with the Google Podcasts on Android Auto: https://t.co/f9WRB3Ab6S. You can also reach out to the Android Auto community for further help: https://t.co/9dQypy4tIQ. Hope this gets resolved soon.,2021-04-22 17:40:41
10,GOOG,"@taexting Hi there. Google One's availability is based on the country you use for Google Play. If your location is listed in this article: https://t.co/aTBjoKm18i but you still can't sign up for Google One, learn how to update your Google Play country here: https://t.co/xcO44vMmJ0. Thanks.",2021-04-22 17:40:02
