,Ticker,Tweets,Time
0,JPM,J.P.モルガン、日産の約1兆円調達を支援―熟練バンカーを“しびれさせた”コロナ下の大型案件 https://t.co/HxBrUbKRUD https://t.co/65jrst91eq https://t.co/qv54ZOQTmO,2021-04-19 03:31:03
1,JPM,"Board member, Linda Bammann, shares her best advice for staying resilient in challenging times: “Stay true to your values.”",2021-04-16 17:18:00
2,JPM,"Today’s announcement is part of our continued efforts to bring together the best of our company to advance climate action, sustainable development and economic inclusion, and help improve the world 🌎 for generations to come.   
https://t.co/nj9kVwsjFV",2021-04-15 19:07:14
3,JPM,"Business, government and community leaders must work together 🤝 to get the world on a more sustainable path.",2021-04-15 19:06:01
4,JPM,"This includes our recent $30 billion commitment to advance #RacialEquity.
https://t.co/bQXuZvAWZz",2021-04-15 19:05:31
5,JPM,"3️⃣ Driving community development: Advancing economic inclusion in developed markets.

We will continue our efforts on small business financing 💼, home lending 🏠 and affordable housing, education 📚 and healthcare 🩺.",2021-04-15 19:05:01
6,JPM,"This effort furthers the objective of the J.P. Morgan Development Finance Institution.
https://t.co/OwaaXvVfGa",2021-04-15 19:04:29
7,JPM,"2️⃣ Supporting development finance: A focus on supporting socioeconomic development and quality of life in developing countries. 

By originating and structuring transactions, we will mobilize capital 💵 to advance the United Nations SDGs in emerging economies.",2021-04-15 19:04:09
8,JPM,"This focus helps set a path for achieving net-zero emissions by 2050 and complements our Paris-aligned financing strategy.
https://t.co/plBTD6GGTu",2021-04-15 19:03:41
9,JPM,"1️⃣ Advancing green initiatives: Renewable energy and clean technology.

This includes $1 trillion for #GreenInitiatives that support climate action, with the goal of accelerating the deployment of solutions for cleaner energy sources and the transition to a low-carbon economy.",2021-04-15 19:03:16
10,JPM,"This new effort will focus on 3 objectives:

🌿 Advancing green initiatives
🏦 Supporting development finance
🏡 Driving community development",2021-04-15 19:02:50
11,JPM,Today we are announcing more than $2.5 trillion over 10 years to advance long-term solutions that tackle climate change 🌎 and further sustainable development. https://t.co/9eKuzdUUay,2021-04-15 19:01:16
12,JPM,"Climate change and inequality are two of the most critical issues of our time, and business has an important role in addressing them. 

[THREAD] 👇",2021-04-15 19:00:18
13,JPM,"$JPM reports net income of $14.3B and EPS of $4.50 for 1Q21, or net income of $10.6B and EPS of $3.31 excluding significant items.",2021-04-14 10:57:19
14,JPM,"As an active philanthropist and powerful advocate for diversity and inclusion, JPMorgan Chase board member, Mellody Hobson, is recognized by Barron's as a top figure in American finance.",2021-04-13 11:30:00
15,JPM,"Five tactics to help make supply chains simpler, faster, and more resilient.",2021-04-12 18:00:00
16,JPM,"RT @CNBCi: ESG investing is now ubiquitous in the financial industry, said Elaine Wu, head of ESG research at @jpmorgan. She also added tha…",2021-04-12 11:00:27
17,JPM,"For Jamie Dimon’s letter to shareholders and more visit:
https://t.co/g8GKdJPp6l",2021-04-09 18:00:11
18,JPM,"Doug Petno: “Last year’s challenges made us even stronger, giving us an opportunity to learn and grow as a business.” 
https://t.co/9X69bfqiX9",2021-04-09 17:59:53
19,JPM,"Mary Callahan Erdoes: “Our success would not be possible without constant reinvestment in our business.” 
https://t.co/RbEgzz0TbB",2021-04-09 17:59:36
20,JPM,"Daniel Pinto: “From the pandemic crisis we take forward some vivid lessons; namely, to preserve our ability to innovate and execute at speed.” 
https://t.co/nqqYdRl3s2",2021-04-09 17:59:15
