,Ticker,Tweets,Time
0,KO,"@thenewmikejames We'd like to help, NAME. Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference 01576770. We look forward to hearing from you.",2021-04-22 21:13:49
1,KO,"@jmcomolo That message is not from The Coca-Cola Company and our name and trademark are being used without permission.  We suggest deleting it without replying.  For more information, you can visit https://t.co/Byqf3V2qi7.  Thanks for reaching out!",2021-04-22 13:56:38
2,KO,"@Dtm27Dan Thank you for reaching out to us, Dan. Please contact Coca-Cola Great Britain at: https://t.co/BGPM2HJRwP for more assistance.",2021-04-22 12:43:06
3,KO,"@KugutsuOwo Hi there! Unfortunately, we aren’t accepting any formal sponsorship requests at this time, but thanks for sharing your passion with us! It’s fans like you that make us who we are.",2021-04-22 12:28:39
4,KO,"@LouZucaro Hi! We appreciate your flavor fandom. Temporarily, we are shifting our focus to accommodate our beverages with the highest demand. Be on the look out for other packaging alternatives as well as plastic bottle options in the meantime.",2021-04-22 12:25:34
5,KO,"@_alfro Thanks for reaching out to us. Our deliveries are organized regionally through our local, independent bottlers. We recommend checking out the product locator on: https://t.co/ZbyDpsgpDJ to find what is available in your area.",2021-04-22 12:22:14
6,KO,@KingKolbyTV Hi! Thanks for being a passionate flavor fan. During this unprecedented time we are making every effort to get your favorite beverages to you. Due to extreme demand on certain products we are temporarily putting our focus on producing more of those beverages.,2021-04-21 23:38:49
7,KO,@KingKolbyTV Coca-Cola California Raspberry has not been discontinued. Check out our product locator to find it near you:  https://t.co/RSeDIyoWUU,2021-04-21 23:33:56
8,KO,"@mayor_mk_cheese Thanks for sharing! Right now due to widespread demand, we have temporarily shifted our focus in order to produce our most in-demand beverages. We appreciate your patience.",2021-04-21 18:31:00
9,KO,@NtRnOs So sorry to hear that. You can reach the office in Japan at 0120-308-509. Thanks for reaching out!,2021-04-21 12:26:04
10,KO,"@Shawn33Larson33 Hi! We appreciate your flavor fandom. Temporarily, we are shifting our focus to accommodate our beverages with the highest demand. Be on the look out for other packaging alternatives as well as plastic bottle options in the meantime.",2021-04-20 13:04:40
11,KO,"@mayor_mk_cheese Thanks for reaching out to us. Our deliveries are organized regionally through our local, independent bottlers. We recommend checking out the product locator on: https://t.co/ZbyDpsgpDJ to find what is available in your area.",2021-04-20 12:46:22
12,KO,@Gweinevera Thank you for reaching out to us. Please contact our offices in Nigeria at: https://t.co/kFKgkEmJfq for more assistance.,2021-04-20 12:42:57
13,KO,"@MthokoMenziwa Thank you for reaching out. Please reach out to the South Africa office with the information provided below;

ccsainfo@coca-cola.com",2021-04-19 19:06:16
14,KO,@mugetsu42069 Hi! We suggest reaching out to Dr. Pepper directly. They can be reached at: 1-800-696-5891.,2021-04-19 18:43:04
15,KO,"@LosiodoJoel Thank you for bringing this to our attention. Please send us another direct message with more details, including your location,  and the location of the retailer its being sold, so we can work to resolve this.",2021-04-19 16:38:30
16,KO,"@MthokoMenziwa Thank you for bringing this to our attention. Please send us another direct message with more details, including your location, and where it was bought from, so we can work to resolve this.",2021-04-19 16:11:56
17,KO,"@Jedi_jawad We'd like to help, Jawad. Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference #01569149. We look forward to hearing from you.",2021-04-19 16:10:32
18,KO,"@jankeesjack Thanks for reaching out to us. Like many companies, we are seeing very high demand for products enjoyed at home during this unprecedented time. We appreciate your loyalty to our beverages; please know we're working hard to keep the products you love on store shelves.",2021-04-19 15:33:55
19,KO,"@AsamoFoodCourt Hi Rein, you have reached Coca-Cola USA. We ask that you please share your concerns with our local team.

Website:  https://t.co/TwaZP7MVv7
Twitter (@Cocacola_GH):  https://t.co/lCiHFVDQvs
Facebook:  https://t.co/mf9I4Xk4ig
Instagram @Cocacola_GH",2021-04-19 15:30:16
20,KO,"@PlainVanillaPub Hi! As part of our World Without Waste vision, we’ve also committed to making bottles with an average of 50% recycled content by 2030. And while the majority of our packaging is recyclable, we are working to get to 100% recyclability. Learn more: https://t.co/2bGKDGE7Oi.",2021-04-19 15:17:53
21,KO,@MatthieuNappe3 We are focusing on collection &amp; recycling because it doesn’t matter how recyclable the packages are if there aren’t the right systems in place to collect &amp; recycle them. Learn more about the ambitious recycling goal we are aiming for by 2030: https://t.co/2bGKDGE7Oi.,2021-04-19 15:13:27
