,Ticker,Tweets,Time
0,TSLA,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility,2021-04-22 10:26:46
1,TSLA,RT @elonmusk: Tesla with Autopilot engaged now approaching 10 times lower chance of accident than average vehicle,2021-04-17 22:52:13
2,TSLA,Cybertruck at Giga Texas https://t.co/c1RuektPnN,2021-04-16 05:56:47
3,TSLA,Tesla seats factory https://t.co/X4PLPjuuj4,2021-04-05 23:11:12
4,TSLA,Model 3 deliveries in Europe https://t.co/fiBNp2a6pG,2021-04-01 13:45:40
5,TSLA,"6,000+ Superchargers across Europe — at 600 locations and counting!

📸 by @EPavlic, @MinimalDuck &amp; @_better_e https://t.co/Yf36HRO9MC",2021-03-25 16:12:35
6,TSLA,RT @Fogdo: Thank you @Tesla for this helpful and cool feature :-) https://t.co/FLuY3yFdSL,2021-03-23 22:02:46
7,TSLA,"Backseat views from Model Y

📸 by loghi007 on Instagram https://t.co/4ss4Hns7fn",2021-03-16 18:04:04
8,TSLA,Semi on the track https://t.co/0QCTYGbLJv,2021-03-14 15:47:19
9,TSLA,"Game on 🎮

📸 by @FromWhereICHG https://t.co/wa4m9gjDMh",2021-03-08 00:10:17
10,TSLA,"Use Tesla phone app to melt snow &amp; ice off your car before even leaving the house

📸 by @cookie_esq https://t.co/P3r8JUOvpv",2021-03-01 18:02:10
11,TSLA,Model 3 earns Top Safety+ award from IIHS for third year in a row https://t.co/rr0QtV20al,2021-02-27 04:47:10
12,TSLA,"RT @elonmusk: @AustinTeslaClub The Tesla Solar Roof is slightly hydrophobic, so water, snow or ice slide off easily",2021-02-22 20:23:49
13,TSLA,Solar Roof even clears off the snow,2021-02-21 21:03:24
14,TSLA,Plaid winter testing https://t.co/Zau1dWZD2U,2021-02-19 20:21:28
15,TSLA,"Two years ago, we launched Dog Mode. Send us your best pics! https://t.co/iXVazZJP3B",2021-02-18 17:00:14
16,TSLA,Winter at Giga Texas https://t.co/eqL8lPICKe,2021-02-16 15:51:30
17,TSLA,Winter at Giga Berlin https://t.co/ZyUwqWWY7S,2021-02-13 06:06:36
18,TSLA,RT @elonmusk: Happy New Year of the Ox! https://t.co/9WFKMYu2oj,2021-02-12 01:17:06
19,TSLA,RT @elonmusk: Giga Berlin progress https://t.co/ekpG5qcbUi,2021-02-07 07:29:57
20,TSLA,It can cast front &amp; rear vehicle underbodies in a single piece each — down from 70+ parts for same sections previously,2021-02-05 01:36:17
21,TSLA,World’s biggest die casting machine https://t.co/MegnFPKQfh,2021-02-05 01:36:17
22,TSLA,Proud to have scored 100/100 in LGBTQ equality for the 6th year in a row 🏳️‍🌈 https://t.co/zz3PeKRRSL,2021-02-01 18:28:16
23,TSLA,RT @elonmusk: Plaid Model S ships next month https://t.co/HFUPTnQiPB,2021-01-28 11:24:28
24,TSLA,"Plaid Model X has the quickest acceleration of any SUV by far, at 2.5 seconds 0-60",2021-01-28 08:07:33
25,TSLA,Plaid Model S is the first production car to achieve 0-60 in under 2 seconds,2021-01-28 08:07:33
26,TSLA,"You can play The Witcher 3, Cyberpunk &amp; many more",2021-01-28 08:07:33
27,TSLA,"New Model S &amp; Model X just launched

Details https://t.co/7Ol1BvJoj8",2021-01-28 08:07:32
28,TSLA,"Also, Model 3 frunks https://t.co/Up848EP3mk",2021-01-24 18:09:57
29,TSLA,Stamping Model Y body parts at our Fremont factory https://t.co/qbLrYowJRC,2021-01-24 18:00:49
30,TSLA,欢迎! Model Y deliveries in China have officially begun 🚘🇨🇳 https://t.co/fG5aax1k2b,2021-01-18 15:17:18
31,TSLA,Come work on cell / battery production at Giga Texas &amp; Giga Berlin! https://t.co/PhsI5bb0uD https://t.co/jEUatMLDmE,2021-01-17 21:08:21
32,TSLA,"The best crash is no crash — with Autopilot enabled, you are 7x less likely to be involved in an accident.

Comes standard with every Tesla, at no additional cost. https://t.co/C7no6bBwGc",2021-01-14 21:32:45
33,TSLA,"Large crumple zones, rigid body structure &amp; low center of gravity really make a difference https://t.co/Gmwoh7a1gz",2021-01-14 04:23:25
34,TSLA,"Model Y awarded 5-star safety rating in every category!
https://t.co/dgbQWofpjf",2021-01-13 23:57:25
35,TSLA,"RT @TonyChoMrMagic: I just installed the largest (44KW) solar roof in Florida  @teslaenergy @ ChoZen Retreat @livechozen, Thank you @elonmu…",2021-01-09 16:34:03
36,TSLA,The 7-seater option is now available for order on Model Y https://t.co/XLu84G3GJc,2021-01-08 22:36:56
37,TSLA,"Model Y Standard Range is now available to order for $41,990
 
- 244 mile range (EPA est.)
- Rear-wheel drive
- 0-60mph in 5.3s
- Premium interior
- Autopilot
- Towing capacity of 3,500 lbs.

https://t.co/dU9HoFqQIc",2021-01-08 22:35:08
