,Ticker,Tweets,Time
0,V,We each play a part in fighting climate change. That’s why we’re harnessing the power of the Visa network through innovative partnerships and initiatives for a more sustainable world every single day. https://t.co/nglNRX0DT7 https://t.co/SkH1Kg6jnl,2021-04-22 16:38:18
1,V,"RT @VisaNews: This #EarthMonth, we are proud to announce our pledge to net-zero emissions by 2040, our progress to climate positive, and ou…",2021-04-21 16:24:19
2,V,"You don’t have to bend over backwards to be like @Simone_Biles. All you need is Visa. Tap to pay with your contactless Visa card like Simone for a quick, easy and secure way to pay. #Tokyo2020 #TeamVisa 

Learn more at: https://t.co/kvNMBvLoKX https://t.co/0PHLfTe6up",2021-04-14 15:19:46
3,V,RT @VisaNews: A third round of Economic Impact Payment (EIP) Cards will soon arrive. Take a moment and review the tips on how to avoid scam…,2021-04-06 16:32:30
4,V,"RT @VisaNews: Today, on International #TransDayOfVisibility, we are proud to celebrate our partnership with Daylight (@JoinDaylight). The D…",2021-03-31 17:36:51
5,V,Tap to pay like a pro. #Contactless digital payments are becoming the standard for face-to-face transactions. Here’s how the tech revolution in 2020 changed the ways we pay: https://t.co/Qf3lmJbRj1 https://t.co/lyUF25IEqJ,2021-03-19 18:53:29
6,V,"RT @usskiteam: 🎥 recap from the @Visa Big Air Presented by @LandRoverUSA qualies! 🔥

Alex Hall &amp; Mac Forehand will represent the U.S. in to…",2021-03-16 16:13:03
7,V,"RT @usskiteam: Big savings for the @Visa Big Air! Pay with your @Visa and enjoy 25% off through March 17, 2021. 💥 Terms and conditions appl…",2021-03-16 15:51:37
8,V,"Happy International Women’s Day! At Visa, we #ChooseToChallenge in working towards gender equality and a world where everyone is accepted, everywhere. #IWD https://t.co/su9Sh21JCI",2021-03-08 18:16:46
9,V,"Congratulations to @roselavelle on being named the 2021 #SheBelievesCup MVP! You’re an inspiration to women, on and off the field, and we’re proud to have you on #TeamVisa.

Visa. Proud partner of the SheBelieves Cup. https://t.co/FtJAfQYmEB",2021-02-25 03:51:07
10,V,"Congratulations, @USWNT! After an inspiring tournament, the defending champions kept their title to take home the 2021 #SheBelievesCup. We can’t wait to see you in Tokyo!

Visa. Proud partner of the SheBelieves Cup and the U.S. Women’s National Team. https://t.co/Or7dHQoxzU",2021-02-25 01:56:48
11,V,"Don’t forget to cast your vote for the 2021 Visa #SheBelievesCup MVP! Head to this link on 2/24 at the 60-minute mark of the @USWNT match and let us know who’s your favorite.
https://t.co/66cTCNw2cl
 
Visa. Proud partner of the SheBelieves Cup and the U.S. Women’s National Team. https://t.co/eGBlnAFjWl",2021-02-25 01:25:14
12,V,"The @USWNT scored an amazing win! The 2021 #SheBelievesCup isn’t over yet though. Catch them on 2/24 and see who will walk away with the cup!

Visa. Proud partner of the SheBelieves Cup and the U.S. Women’s National Team. https://t.co/l7K1Ve2zNV",2021-02-21 22:06:48
13,V,"Use your Visa and show your support for the @USWNT with official gear. https://t.co/GlOaXFswnz

Visa. Proud partner of the SheBelieves Cup and the U.S. Women’s National Team. https://t.co/KaUPkdaH3E",2021-02-21 19:30:57
14,V,"Congratulations to the @USWNT for an amazing win, but the 2021 #SheBelievesCup isn’t over yet. We’re looking forward to their next match on 2/21!

Visa. Proud partner of the SheBelieves Cup and the U.S. Women’s National Team. https://t.co/f5TFiAfUXW",2021-02-19 15:41:58
15,V,"The 6th annual #SheBelievesCup Presented by Visa kicks off 2/18! Cheer on the @USWNT as they take on 3 of the top teams in the world 2/18-2/24.

Visa. Proud partner of the SheBelieves Cup and the U.S. Women’s National Team. https://t.co/XRXVmaARZB",2021-02-18 22:37:40
16,V,"Visa believes in the power of Black women-owned small businesses. This NYFW, we showed our support by creating a beauty box from Black women-owned brands &amp; through our panel “The Beauty of Inclusivity”. https://t.co/x0nHjydqdp https://t.co/vRQKykdJ7y",2021-02-16 18:51:32
17,V,Big congratulations to @JohnLynch49ers for being named to NFL Hall of Fame Class of 2021! We are proud of our partnership with you @49ers and of everything you’ve accomplished. https://t.co/KmvbkSYx2L,2021-02-14 15:45:40
18,V,"We teamed up with @BGirlVentures and @saquon to surprise small biz owners w/ tix to #SBLV! Small businesses are the backbone of our economy, and Visa is committed to helping them. @kazmaleje  @7thandGrove @healthmatterspharmacy https://t.co/wMtNTKNlse",2021-02-06 18:58:03
19,V,RT @ryantannehill1: Black-owned small businesses like @SpaJuiceBar are essential to our communities. Support the home team and shop local w…,2021-02-05 18:09:02
20,V,"RT @ChaseClaypool: Now more than ever, where you shop matters. Support the home team by shopping at local Black-owned small businesses like…",2021-02-05 18:08:35
21,V,"RT @fred_warner: Now more than ever, where you shop matters. Support the home team by shopping at Black-owned small businesses like @Marcus…",2021-02-05 18:07:50
