,Ticker,Tweets,Time
0,WMT,"@thecolbcolb That’s great! We love seeing you happy, Colbri! We also have great Free Assembly pieces to compliment your wardrobe on our website! Check everything out, here: https://t.co/gyMiB3Wuyr 💙",2021-04-23 01:59:18
1,WMT,@DAILYdoseOfNik_ Thanks for giving us a try today! 💙 💛,2021-04-23 00:53:27
2,WMT,@ruthtynes We appreciate the love and support! 💙💛,2021-04-22 23:47:00
3,WMT,"@sottshelb The outfit looks great, Shelb!",2021-04-22 23:19:58
4,WMT,"@AURORAJ00NG Now we can't get that song out of our head, Tiffy! 🎶🎵",2021-04-22 23:10:41
5,WMT,You can always count on scented candles at the end of a long day. 😊,2021-04-22 22:15:31
6,WMT,"@WordSpelunker That's great, Aeicha. Have a wonderful day!",2021-04-22 20:50:36
7,WMT,@BelleRinger1 This is really great. We are so glad that you got this gem and hope that you enjoy it!,2021-04-22 20:32:00
8,WMT,"@yanelliramirez La colección de Beautiful by Drew está muy bella, Yanellira. 😍",2021-04-22 20:23:08
9,WMT,"@Gotti_TheGirl2 Hey, there. We are glad you enjoy our service. 💕 💙 💕",2021-04-22 20:20:33
10,WMT,"@Mike0243 We're happy to hear you're loafing Grocery Pickup, Mike! 🍞 😉",2021-04-22 20:12:57
11,WMT,Every time. 🙃 https://t.co/Z7MSLs3eLe,2021-04-22 19:30:00
12,WMT,"@ftnofgr8ideas We hope that your trip to the store was great, Anna. Good luck on your finals.",2021-04-22 19:03:00
13,WMT,Nature makes the things we love. Like coffee. That’s why we’re working to protect &amp; restore 50M acres of land by 2030. #EarthDay,2021-04-22 17:00:02
14,WMT,@Yeg_Girl94 Glad you like it! 😄,2021-04-22 16:41:53
15,WMT,@prettygurlkay27 Thanks for the shout out! 💙 👍,2021-04-22 16:33:12
16,WMT,"@WhyLie2_TY Hi, there! We're happy to hear that! 💙",2021-04-22 15:14:59
17,WMT,"@LisaRhfx They really are yummy, Lisa! 😋",2021-04-22 14:41:10
18,WMT,"@itsdaniibby This is wonderful to hear, Daniel. Thanks for the shout out!! 💙 👍",2021-04-22 13:48:40
19,WMT,"@_VNNL That's awesome, Viannel! You are going to take this summer by storm! 🌞",2021-04-22 13:45:46
20,WMT,@RychGurlJay See you soon! 👍,2021-04-22 13:27:28
21,WMT,"@DietraSanders See you soon, Dietra!",2021-04-22 13:25:58
22,WMT,@SteeleDaddy That is definitely worthy shirt! We approve. 😉,2021-04-22 12:54:30
23,WMT,"@SteveMalysa That sounds amazing, Steve! We're going to have to try it some time.",2021-04-22 10:23:15
24,WMT,"@theeflyyest We are glad you enjoy using our services, MizZ.",2021-04-22 08:08:29
25,WMT,"@QuerySprout We have an option in our app called Item Finder to help you find out where this is at, Marques. We also suggust asking a store associate.",2021-04-22 06:51:44
26,WMT,@prettyblackree_ What a great price for a grill!,2021-04-22 05:07:16
27,WMT,"@weblady1 We are so glad that you enjoyed the brownies, Jeaneane! 🤗 😋 😀",2021-04-22 04:35:35
28,WMT,"@realJOE83 Nice, Joey! 👍 💙 💛 😀",2021-04-22 03:56:31
29,WMT,@yoshkaayy True. 😌,2021-04-22 03:44:38
30,WMT,@Pdlmartin 👍 😀,2021-04-22 03:39:41
31,WMT,@The_Karasu87 There's no judgement in shopping spree's. 😅 You just shop!,2021-04-22 03:30:30
32,WMT,"@Frank9Js We are so glad our Grocery Pickup service was able to help you out, Frank! 😄",2021-04-22 00:20:16
33,WMT,@yukidogzombie We're glad to hear that you like it! 😍,2021-04-21 20:23:48
34,WMT,"@neat8989 We are happy to hear you found an item that you like, Emmanuel. 😊",2021-04-21 20:22:31
35,WMT,@pvalle143 Fiesta headbands are so cute! 😍 Here's a link if you'd like to what we have on our website: https://t.co/sslrQPkSrK,2021-04-21 20:21:46
36,WMT,"@ayalejandraa25 That's such a great gesture, Alejandra! 💙 💛",2021-04-21 20:16:48
37,WMT,"@andeedanielle_ What do you think about getting, Danielle? 🙂",2021-04-21 20:13:57
38,WMT,"@Chels_ayyy Sounds like a plan, Chels! We are happy you chose us! 💙 👍 😀",2021-04-21 20:07:06
39,WMT,"@DanMaynardSmith Good for you, Dan! 💙 👍",2021-04-21 19:43:53
